data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva
2020-03-22 17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,218,49,267,272,539,45,15,33,587,3375,529,58,13,2,22,11,44,5
2020-03-22 17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,13,10,23,58,81,15,0,0,81,643,66,15,0,0,0,0,7,3
2020-03-22 17:00:00,ITA,18,Calabria,38.90597598,16.59440194,77,17,94,166,260,35,5,8,273,3666,235,38,5,0,5,3,16,1
2020-03-22 17:00:00,ITA,15,Campania,40.83956555,14.25084984,243,99,342,524,866,73,41,29,936,4943,844,92,29,12,22,7,87,12
2020-03-22 17:00:00,ITA,8,Emilia Romagna,44.49436681,11.3417208,2429,269,2698,3692,6390,729,349,816,7555,28022,6705,850,329,20,715,101,265,4
2020-03-22 17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,163,47,210,528,738,72,89,47,874,6761,790,84,82,7,42,5,37,10
2020-03-22 17:00:00,ITA,12,Lazio,41.89277044,12.48366722,671,79,750,522,1272,186,58,53,1383,17845,1190,193,54,4,50,3,70,9
2020-03-22 17:00:00,ITA,7,Liguria,44.41149315,8.9326992,736,132,868,483,1351,192,143,171,1665,4995,1436,229,125,18,152,19,129,3
2020-03-22 17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,9439,1142,10581,7304,17885,515,5865,3456,27206,70598,25515,1691,5050,815,3095,361,1093,49
2020-03-22 17:00:00,ITA,11,Marche,43.61675973,13.5188753,816,138,954,1277,2231,234,6,184,2421,6391,2153,268,2,4,154,30,141,-3
2020-03-22 17:00:00,ITA,14,Molise,41.55774754,14.65916051,24,7,31,21,52,5,7,7,66,532,61,5,7,0,7,0,6,1
2020-03-22 17:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,146,32,178,470,648,48,7,23,678,5718,621,57,1,6,20,3,30,2
2020-03-22 17:00:00,ITA,4,P.A. Trento,46.06893511,11.12123097,235,46,281,604,885,165,34,35,954,3050,782,172,34,0,28,7,39,7
2020-03-22 17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2118,308,2426,1701,4127,621,10,283,4420,12701,3752,668,8,2,238,45,301,7
2020-03-22 17:00:00,ITA,16,Puglia,41.12559576,16.86736689,252,37,289,459,748,106,7,31,786,6160,675,111,4,3,29,2,33,4
2020-03-22 17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,67,16,83,244,327,6,5,7,339,2402,330,9,5,0,4,3,16,0
2020-03-22 17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,220,55,275,321,596,138,26,8,630,5580,490,140,26,0,6,2,48,7
2020-03-22 17:00:00,ITA,9,Toscana,43.76923077,11.25588885,706,215,921,1223,2144,239,42,91,2277,13264,2012,265,35,7,72,19,202,13
2020-03-22 17:00:00,ITA,10,Umbria,43.10675841,12.38824698,97,35,132,368,500,53,5,16,521,3135,462,59,5,0,10,6,29,6
2020-03-22 17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,63,21,84,270,354,50,1,9,364,950,313,51,1,0,8,1,15,6
2020-03-22 17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1113,255,1368,3276,4644,430,309,169,5122,57671,4617,505,257,52,146,23,249,6
