data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva
2020-03-23 17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,228,52,280,325,605,66,20,38,663,3674,587,76,15,5,33,5,49,3
2020-03-23 17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,15,12,27,62,89,8,0,1,90,696,81,9,0,0,0,1,10,2
2020-03-23 17:00:00,ITA,18,Calabria,38.90597598,16.59440194,82,20,102,178,280,20,5,7,292,4073,273,19,5,0,8,-1,17,3
2020-03-23 17:00:00,ITA,15,Campania,40.83956555,14.25084984,266,110,376,553,929,63,48,49,1026,5813,936,90,41,7,29,20,99,11
2020-03-23 17:00:00,ITA,8,Emilia Romagna,44.49436681,11.3417208,2846,276,3122,4098,7220,830,423,892,8535,31200,7555,980,349,74,816,76,269,7
2020-03-23 17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,185,41,226,545,771,33,105,54,930,7424,874,56,89,16,47,7,47,-6
2020-03-23 17:00:00,ITA,12,Lazio,41.89277044,12.48366722,718,96,814,600,1414,142,63,63,1540,18371,1383,157,58,5,53,10,79,17
2020-03-23 17:00:00,ITA,7,Liguria,44.41149315,8.9326992,761,133,894,659,1553,202,159,212,1924,5538,1665,259,143,16,171,41,132,1
2020-03-23 17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,9266,1183,10449,8461,18910,1025,6075,3776,28761,73242,27206,1555,5865,210,3456,320,1142,41
2020-03-23 17:00:00,ITA,11,Marche,43.61675973,13.5188753,882,148,1030,1328,2358,127,8,203,2569,6782,2421,148,6,2,184,19,138,10
2020-03-23 17:00:00,ITA,14,Molise,41.55774754,14.65916051,25,7,32,18,50,-2,10,7,67,532,66,1,7,3,7,0,7,0
2020-03-23 17:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,145,33,178,510,688,40,7,29,724,6084,678,46,7,0,23,6,32,1
2020-03-23 17:00:00,ITA,4,P.A. Trento,46.06893511,11.12123097,249,46,295,619,914,29,68,41,1023,3150,954,69,34,34,35,6,46,0
2020-03-23 17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2194,343,2537,1992,4529,402,17,315,4861,13560,4420,441,10,7,283,32,308,35
2020-03-23 17:00:00,ITA,16,Puglia,41.12559576,16.86736689,285,45,330,532,862,114,7,37,906,6761,786,120,7,0,31,6,37,8
2020-03-23 17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,76,18,94,249,343,16,5,11,359,2568,339,20,5,0,7,4,16,2
2020-03-23 17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,250,60,310,371,681,85,27,13,721,6375,630,91,26,1,8,5,55,5
2020-03-23 17:00:00,ITA,9,Toscana,43.76923077,11.25588885,838,238,1076,1225,2301,157,51,109,2461,13851,2277,184,42,9,91,18,215,23
2020-03-23 17:00:00,ITA,10,Umbria,43.10675841,12.38824698,106,42,148,408,556,56,5,16,577,3561,521,56,5,0,16,0,35,7
2020-03-23 17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,69,20,89,290,379,25,2,12,393,1098,364,29,1,1,9,3,21,-1
2020-03-23 17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1206,281,1487,3499,4986,342,327,192,5505,61115,5122,383,309,18,169,23,255,26
