data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,note_it,note_en,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva
2020-03-28T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,311,70,381,646,1027,102,30,76,1133,7003,,,1017,116,24,6,68,8,71,-1
2020-03-28T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,26,19,45,133,178,31,1,3,182,1421,,,151,31,1,0,3,0,15,4
2020-03-28T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,107,22,129,394,523,54,11,21,555,7760,,,494,61,7,4,18,3,22,0
2020-03-28T17:00:00,ITA,15,Campania,40.83956555,14.25084984,463,132,595,812,1407,115,76,109,1592,10616,,,1454,138,64,12,98,11,113,19
2020-03-28T17:00:00,ITA,8,Emilia Romagna,44.49436681,11.3417208,3695,316,4011,5953,9964,603,1075,1344,12383,52991,,,11588,795,960,115,1267,77,308,8
2020-03-28T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,223,59,282,838,1120,93,229,87,1436,12723,,,1317,119,214,15,76,11,57,2
2020-03-28T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,985,133,1118,1063,2181,168,200,124,2505,27179,,,2295,210,164,36,118,6,126,7
2020-03-28T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,1031,167,1198,888,2086,26,378,358,2822,8177,,,2696,126,305,73,331,27,157,10
2020-03-28T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,11152,1319,12471,12038,24509,614,8962,5944,39415,102503,,,37298,2117,8001,961,5402,542,1292,27
2020-03-28T17:00:00,ITA,11,Marche,43.61675973,13.5188753,987,166,1153,1846,2999,149,10,364,3373,9884,,,3196,177,10,0,336,28,162,4
2020-03-28T17:00:00,ITA,14,Molise,41.55774754,14.65916051,26,9,35,63,98,12,16,9,123,807,,,109,14,14,2,9,0,9,0
2020-03-28T17:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,225,51,276,653,929,96,116,64,1109,9168,,,1003,106,110,6,60,4,45,6
2020-03-28T17:00:00,ITA,4,P.A. Trento,46.06893511,11.12123097,351,72,423,811,1234,70,151,120,1505,5561,,,1391,114,125,26,102,18,66,6
2020-03-28T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,3094,439,3533,3318,6851,504,203,617,7671,21511,,,7092,579,176,27,569,48,431,8
2020-03-28T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,563,98,661,697,1358,122,29,71,1458,11500,,,1334,124,29,0,69,2,82,16
2020-03-28T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,95,22,117,452,569,73,29,26,624,4225,,,530,94,13,16,21,5,19,3
2020-03-28T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,441,71,512,730,1242,84,60,57,1359,13096,,,1250,109,53,7,39,18,75,-4
2020-03-28T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,1093,277,1370,2141,3511,341,108,198,3817,25613,,,3450,367,103,5,177,21,274,3
2020-03-28T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,159,44,203,695,898,74,43,28,969,7028,,,884,85,39,4,21,7,46,-2
2020-03-28T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,90,26,116,352,468,55,2,41,511,1380,,,452,59,2,0,37,4,24,2
2020-03-28T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1559,344,1903,5010,6913,265,655,362,7930,89380,,,7497,433,536,119,313,49,338,6
