data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,note_it,note_en,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva
2020-03-29T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,329,68,397,772,1169,142,36,88,1293,7730,,,1133,160,30,6,76,12,70,-2
2020-03-29T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,32,18,50,147,197,19,1,4,202,1585,,,182,20,1,0,3,1,19,-1
2020-03-29T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,124,19,143,434,577,54,12,25,614,8485,,,555,59,11,1,21,4,22,-3
2020-03-29T17:00:00,ITA,15,Campania,40.83956555,14.25084984,476,135,611,945,1556,149,86,117,1759,11805,,,1592,167,76,10,109,8,132,3
2020-03-29T17:00:00,ITA,8,Emilia Romagna,44.49436681,11.3417208,3769,333,4102,6433,10535,571,1141,1443,13119,52991,pd-IT-0008,pd-EN-0008,12383,736,1075,66,1344,99,316,17
2020-03-29T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,236,60,296,845,1141,21,241,98,1480,13397,,,1436,44,229,12,87,11,59,1
2020-03-29T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1062,133,1195,1167,2362,181,208,136,2706,27744,,,2505,201,200,8,124,12,133,0
2020-03-29T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,1077,166,1243,1036,2279,193,420,377,3076,9100,,,2822,254,378,42,358,19,167,-1
2020-03-29T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,11613,1328,12941,12451,25392,883,9255,6360,41007,107398,,,39415,1592,8962,293,5944,416,1319,9
2020-03-29T17:00:00,ITA,11,Marche,43.61675973,13.5188753,1000,168,1168,1992,3160,161,12,386,3558,10431,,,3373,185,10,2,364,22,166,2
2020-03-29T17:00:00,ITA,14,Molise,41.55774754,14.65916051,25,9,34,66,100,2,18,9,127,918,,,123,4,16,2,9,0,9,0
2020-03-29T17:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,234,56,290,744,1034,105,116,64,1214,10137,,,1109,105,116,0,64,0,51,5
2020-03-29T17:00:00,ITA,4,P.A. Trento,46.06893511,11.12123097,356,75,431,862,1293,59,172,129,1594,5950,,,1505,89,151,21,120,9,72,3
2020-03-29T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2985,443,3428,3840,7268,417,254,684,8206,24058,,,7671,535,203,51,617,67,439,4
2020-03-29T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,559,99,658,774,1432,74,31,86,1549,12361,,,1458,91,29,2,71,15,98,1
2020-03-29T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,105,23,128,454,582,13,29,27,638,4598,,,624,14,29,0,26,1,22,1
2020-03-29T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,451,71,522,808,1330,88,65,65,1460,13814,,,1359,101,60,5,57,8,71,0
2020-03-29T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,1111,275,1386,2400,3786,275,121,215,4122,27579,,,3817,305,108,13,198,17,277,-2
2020-03-29T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,166,46,212,685,897,-1,95,31,1023,7685,,,969,54,43,52,28,3,44,2
2020-03-29T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,90,26,116,423,539,71,2,43,584,1480,,,511,73,2,0,41,2,26,0
2020-03-29T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1586,355,1941,5310,7251,338,715,392,8358,94784,,,7930,428,655,60,362,30,344,11
