data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,note_it,note_en,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva
2020-03-30T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,322,69,391,778,1169,0,74,102,1345,7948,,,1293,52,36,38,88,14,68,1
2020-03-30T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,36,18,54,154,208,11,1,5,214,1833,,,202,12,1,0,4,1,18,0
2020-03-30T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,130,18,148,454,602,25,14,31,647,9013,,,614,33,12,2,25,6,19,-1
2020-03-30T17:00:00,ITA,15,Campania,40.83956555,14.25084984,468,126,594,1145,1739,183,88,125,1952,12969,,,1759,193,86,2,117,8,135,-9
2020-03-30T17:00:00,ITA,8,Emilia Romagna,44.49436681,11.3417208,3779,351,4130,6636,10766,231,1227,1538,13531,50990,,,13119,412,1141,86,1443,95,333,18
2020-03-30T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,229,60,289,820,1109,-32,285,107,1501,14003,,,1480,21,241,44,98,9,60,0
2020-03-30T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1079,154,1233,1264,2497,135,267,150,2914,32846,,,2706,208,208,59,136,14,133,21
2020-03-30T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,1142,175,1317,1066,2383,104,437,397,3217,9677,,,3076,141,420,17,377,20,166,9
2020-03-30T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,11815,1330,13145,11861,25006,-386,10337,6818,42161,111057,,,41007,1154,9255,1082,6360,458,1328,2
2020-03-30T17:00:00,ITA,11,Marche,43.61675973,13.5188753,998,167,1165,2086,3251,91,16,417,3684,10979,,,3558,126,12,4,386,31,168,-1
2020-03-30T17:00:00,ITA,14,Molise,41.55774754,14.65916051,27,8,35,72,107,7,18,9,134,955,,,127,7,18,0,9,0,9,-1
2020-03-30T17:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,231,62,293,805,1098,64,153,74,1325,10640,,,1214,111,116,37,64,10,56,6
2020-03-30T17:00:00,ITA,4,P.A. Trento,46.06893511,11.12123097,353,78,431,926,1357,64,178,147,1682,6377,,,1594,88,172,6,129,18,75,3
2020-03-30T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2985,452,3437,4218,7655,387,308,749,8712,25478,,,8206,506,254,54,684,65,443,9
2020-03-30T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,590,106,696,889,1585,153,36,91,1712,13117,,,1549,163,31,5,86,5,99,7
2020-03-30T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,113,24,137,485,622,40,32,28,682,4993,,,638,44,29,3,27,1,23,1
2020-03-30T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,484,75,559,849,1408,78,71,76,1555,14758,,,1460,95,65,6,65,11,71,4
2020-03-30T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,1116,279,1395,2655,4050,264,131,231,4412,30099,,,4122,290,121,10,215,16,275,4
2020-03-30T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,173,47,220,614,834,-63,184,33,1051,8150,,,1023,28,95,89,31,2,46,1
2020-03-30T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,92,26,118,400,518,-21,16,50,584,1536,,,584,0,2,14,43,7,26,0
2020-03-30T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1633,356,1989,5575,7564,313,747,413,8724,99941,,,8358,366,715,32,392,21,355,1
