data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,note_it,note_en,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi
2020-04-07T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,337,67,404,1087,1491,66,78,136,172,1799,14904,,,1721,78,127,9,169,3,66,1,14198,706
2020-04-07T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,47,17,64,201,265,3,4,12,14,291,3160,,,287,4,12,0,13,1,18,-1,3061,99
2020-04-07T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,169,14,183,550,733,11,16,40,60,833,14072,,,817,16,37,3,58,2,14,0,13633,439
2020-04-07T17:00:00,ITA,15,Campania,40.83956555,14.25084984,603,103,706,2059,2765,67,90,167,216,3148,25779,,,3058,90,156,11,204,12,101,2,24526,1253
2020-04-07T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,3750,366,4116,8932,13048,-3,269,2597,2180,17825,75191,,,17556,269,2397,200,2108,72,372,-6,72163,3028
2020-04-07T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,185,44,229,1150,1379,-17,50,610,164,2153,23536,,,2103,50,549,61,158,6,46,-2,22272,1264
2020-04-07T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1229,192,1421,1944,3365,65,118,546,238,4149,48874,,,4031,118,502,44,229,9,197,-5,47470,1404
2020-04-07T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,1090,156,1246,1966,3212,95,208,925,620,4757,16579,,,4549,208,837,88,595,25,162,-6,15533,1046
2020-04-07T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,11833,1305,13138,15205,28343,-126,791,14498,9484,52325,159331,,,51534,791,13863,635,9202,282,1343,-38,154989,4342
2020-04-07T17:00:00,ITA,11,Marche,43.61675973,13.5188753,962,139,1101,2637,3738,32,96,342,630,4710,16619,,,4614,96,296,46,612,18,140,-1,15919,700
2020-04-07T17:00:00,ITA,14,Molise,41.55774754,14.65916051,35,5,40,145,185,-2,0,26,13,224,1581,,,224,0,24,2,13,0,5,0,1546,35
2020-04-07T17:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,325,64,389,912,1301,41,89,336,174,1811,17761,,,1722,89,298,38,164,10,52,12,16825,936
2020-04-07T17:00:00,ITA,4,P.A. Trento,46.06893511,11.12123097,360,78,438,1452,1890,52,128,342,244,2476,12030,,,2348,128,280,62,230,14,79,-1,11130,900
2020-04-07T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,3553,432,3985,6719,10704,159,419,1320,1319,13343,44121,,,12924,419,1128,192,1251,68,438,-6,41123,2998
2020-04-07T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,615,93,708,1429,2137,22,70,168,209,2514,23149,,,2444,70,134,34,195,14,97,-4,22059,1090
2020-04-07T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,122,26,148,673,821,2,13,62,52,935,7680,,,922,13,56,6,47,5,26,0,7521,159
2020-04-07T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,562,73,635,1224,1859,44,51,113,125,2097,24857,,,2046,51,108,5,123,2,74,-1,23464,1393
2020-04-07T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,1087,263,1350,4077,5427,126,172,377,369,6173,56651,,,6001,172,350,27,350,19,279,-16,52849,3802
2020-04-07T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,157,41,198,648,846,-26,10,368,49,1263,13274,,,1253,10,337,31,44,5,46,-5,12573,701
2020-04-07T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,118,17,135,458,593,26,30,142,100,835,2754,,,805,30,142,0,96,4,21,-4,2590,164
2020-04-07T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1579,297,1876,8089,9965,243,337,1265,695,11925,153542,,,11588,337,1204,61,662,33,322,-25,146288,7254
