data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi
2020-04-21T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,318,35,353,1714,2067,5,55,329,271,2667,29906,23901,,,2612,55,287,42,263,8,38,-3,27942,1964
2020-04-21T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,64,7,71,174,245,3,8,81,24,350,7470,7470,,,342,8,76,5,24,0,7,0,6868,602
2020-04-21T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,133,7,140,679,819,-9,9,152,76,1047,25440,23914,,,1038,9,135,17,75,1,7,0,24373,1067
2020-04-21T17:00:00,ITA,15,Campania,40.83956555,14.25084984,532,58,590,2356,2946,-73,61,872,317,4135,53548,37505,,,4074,61,746,126,309,8,61,-3,51090,2458
2020-04-21T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,3045,282,3327,9917,13244,-278,225,6701,3147,23092,134878,93367,,,22867,225,6266,435,3079,68,283,-1,129530,5348
2020-04-21T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,139,21,160,1162,1322,132,17,1229,241,2792,48500,31352,,,2775,17,1346,-117,239,2,22,-1,45161,3339
2020-04-21T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1380,184,1564,2838,4402,37,80,1130,363,5895,100031,24046,,,5815,80,1101,29,349,14,185,-1,97823,2208
2020-04-21T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,914,94,1008,2455,3463,-33,95,2311,990,6764,34186,22670,,,6669,95,2216,95,957,33,102,-8,33007,1179
2020-04-21T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,9805,851,10656,23322,33978,-609,960,21374,12579,67931,277197,173333,pd-IT-0012,pd-EN-0012,66971,960,20008,1366,12376,203,901,-50,270486,6711
2020-04-21T17:00:00,ITA,11,Marche,43.61675973,13.5188753,784,78,862,2356,3218,6,51,1825,834,5877,44332,29090,,,5826,51,1792,33,822,12,80,-2,42782,1550
2020-04-21T17:00:00,ITA,14,Molise,41.55774754,14.65916051,27,2,29,184,213,0,1,51,18,282,4124,4015,,,281,1,50,1,18,0,2,0,3783,341
2020-04-21T17:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,159,20,179,1357,1536,-4,16,623,251,2410,31987,15405,,,2394,16,605,18,249,2,19,1,31381,606
2020-04-21T17:00:00,ITA,4,P.A. Trento,46.06893511,11.12123097,254,38,292,1617,1909,-20,24,1329,376,3614,26610,17705,,,3590,24,1295,34,366,10,40,-2,26211,399
2020-04-21T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,3116,293,3409,11402,14811,254,606,4659,2485,21955,105434,76406,,,21349,606,4383,276,2409,76,301,-8,99669,5765
2020-04-21T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,569,65,634,2178,2812,2,55,459,351,3622,45984,44760,,,3567,55,431,28,326,25,66,-1,44189,1795
2020-04-21T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,112,21,133,704,837,-17,8,306,93,1236,15886,14526,,,1228,8,288,18,86,7,21,0,15328,558
2020-04-21T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,514,37,551,1708,2259,49,76,370,206,2835,55093,55093,,,2759,76,346,24,203,3,39,-2,51373,3720
2020-04-21T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,833,171,1004,5618,6622,54,96,1295,686,8603,109925,87717,,,8507,96,1272,23,667,19,182,-11,105857,4068
2020-04-21T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,107,22,129,278,407,-17,4,886,60,1353,26639,17873,,,1349,4,867,19,58,2,29,-7,25562,1077
2020-04-21T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,99,8,107,415,522,-26,5,445,126,1093,4911,3969,,,1088,5,413,32,127,-1,8,0,4799,112
2020-04-21T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1230,177,1407,8670,10077,16,277,5173,1154,16404,268069,167129,,,16127,277,4954,219,1112,42,180,-3,260810,7259
