data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi
2020-04-22T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,309,35,344,1764,2108,41,66,349,276,2733,30348,24317,,,2667,66,329,20,271,5,35,0,29906,442
2020-04-22T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,65,7,72,160,232,-13,4,98,24,354,8040,8040,,,350,4,81,17,24,0,7,0,7470,570
2020-04-22T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,128,7,135,686,821,2,13,163,76,1060,26560,24878,,,1047,13,152,11,76,0,7,0,25440,1120
2020-04-22T17:00:00,ITA,15,Campania,40.83956555,14.25084984,523,53,576,2422,2998,52,50,860,327,4185,55701,38679,,,4135,50,872,-12,317,10,58,-5,53548,2153
2020-04-22T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2964,282,3246,9838,13084,-160,342,7146,3204,23434,140874,96824,,,23092,342,6701,445,3147,57,282,0,134878,5996
2020-04-22T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,134,20,154,1154,1308,-14,25,1263,246,2817,50869,32871,,,2792,25,1229,34,241,5,21,-1,48500,2369
2020-04-22T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1384,187,1571,2892,4463,61,80,1142,370,5975,104062,25244,,,5895,80,1130,12,363,7,184,3,100031,4031
2020-04-22T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,860,92,952,2524,3476,13,154,2420,1022,6918,35990,23756,,,6764,154,2311,109,990,32,94,-2,34186,1804
2020-04-22T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,9692,817,10509,23733,34242,264,1161,22110,12740,69092,290699,184323,,,67931,1161,21374,736,12579,161,851,-34,277197,13502
2020-04-22T17:00:00,ITA,11,Marche,43.61675973,13.5188753,735,76,811,2419,3230,12,47,1849,845,5924,46492,30543,,,5877,47,1825,24,834,11,78,-2,44332,2160
2020-04-22T17:00:00,ITA,14,Molise,41.55774754,14.65916051,21,2,23,182,205,-8,2,60,19,284,4425,4252,,,282,2,51,9,18,1,2,0,4124,301
2020-04-22T17:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,157,19,176,1336,1512,-24,6,648,256,2416,32722,15736,,,2410,6,623,25,251,5,20,-1,31987,735
2020-04-22T17:00:00,ITA,4,P.A. Trento,46.06893511,11.12123097,245,34,279,1595,1874,-35,32,1391,381,3646,26674,17672,,,3614,32,1329,62,376,5,38,-4,26610,64
2020-04-22T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,3213,273,3486,11636,15122,311,784,5058,2559,22739,111513,81176,,,21955,784,4659,399,2485,74,293,-20,105434,6079
2020-04-22T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,564,60,624,2250,2874,62,108,494,362,3730,48342,46925,,,3622,108,459,35,351,11,65,-5,45984,2358
2020-04-22T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,97,20,117,716,833,-4,11,318,96,1247,16886,15354,,,1236,11,306,12,93,3,21,-1,15886,1000
2020-04-22T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,500,35,535,1752,2287,28,48,388,208,2883,58732,58732,,,2835,48,370,18,206,2,37,-2,55093,3639
2020-04-22T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,820,174,994,5173,6167,-455,97,1828,705,8700,114100,91747,,,8603,97,1295,533,686,19,171,3,109925,4175
2020-04-22T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,97,20,117,254,371,-36,4,925,61,1357,27655,18679,,,1353,4,886,39,60,1,22,-2,26639,1016
2020-04-22T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,92,8,100,401,501,-21,2,467,127,1095,5024,4011,,,1093,2,445,22,126,1,8,0,4911,113
2020-04-22T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1205,163,1368,8623,9991,-86,334,5566,1181,16738,277543,171735,,,16404,334,5173,393,1154,27,177,-14,268069,9474
