data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi
2020-04-23T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,322,31,353,1747,2100,-8,52,405,280,2785,31187,190451,,,2733,52,349,56,276,4,35,-4,30348,839
2020-04-23T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,61,7,68,161,229,-3,2,103,24,356,8511,99714,,,354,2,98,5,24,0,7,0,8040,471
2020-04-23T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,129,7,136,687,823,2,9,170,76,1069,27869,177154,,,1060,9,163,7,76,0,7,0,26560,1309
2020-04-23T17:00:00,ITA,15,Campania,40.83956555,14.25084984,539,47,586,2392,2978,-20,53,928,332,4238,58324,94426,pd-IT-0014,pd-EN-0014,4185,53,860,68,327,5,53,-6,55701,2623
2020-04-23T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2889,266,3155,9690,12845,-239,289,7609,3269,23723,146146,25045,,,23434,289,7146,463,3204,65,282,-16,140874,5272
2020-04-23T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,138,18,156,979,1135,-173,41,1467,256,2858,52918,26298,,,2817,41,1263,204,246,10,20,-2,50869,2049
2020-04-23T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1385,186,1571,2915,4486,23,79,1193,375,6054,111073,31673,,,5975,79,1142,51,370,5,187,-1,104062,7011
2020-04-23T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,783,91,874,2592,3466,-10,131,2536,1047,7049,37842,38679,,,6918,131,2420,116,1022,25,92,-1,35990,1852
2020-04-23T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,9192,790,9982,23891,33873,-369,1073,23352,12940,70165,302715,49403,,,69092,1073,22110,1242,12740,200,817,-27,290699,12016
2020-04-23T17:00:00,ITA,11,Marche,43.61675973,13.5188753,727,71,798,2432,3230,0,28,1865,857,5952,47662,18656,,,5924,28,1849,16,845,12,76,-5,46492,1170
2020-04-23T17:00:00,ITA,14,Molise,41.55774754,14.65916051,19,1,20,178,198,-7,0,66,20,284,4564,62150,,,284,0,60,6,19,1,2,-1,4425,139
2020-04-23T17:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,141,17,158,1336,1494,-18,19,680,261,2435,33994,84648,,,2416,19,648,32,256,5,19,-2,32722,1272
2020-04-23T17:00:00,ITA,4,P.A. Trento,46.06893511,11.12123097,234,29,263,1608,1871,-3,81,1474,382,3727,28240,4133,,,3646,81,1391,83,381,1,34,-5,26674,1566
2020-04-23T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,3039,261,3300,11852,15152,30,401,5358,2630,23140,117970,34057,,,22739,401,5058,300,2559,71,273,-12,111513,6457
2020-04-23T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,536,55,591,2345,2936,62,109,531,372,3839,50410,24751,,,3730,109,494,37,362,10,60,-5,48342,2068
2020-04-23T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,90,20,110,707,817,-16,7,339,98,1254,17844,16442,,,1247,7,318,21,96,2,20,0,16886,958
2020-04-23T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,476,34,510,1791,2301,14,43,412,213,2926,62150,19627,,,2883,43,388,24,208,5,35,-1,58732,3418
2020-04-23T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,791,168,959,5212,6171,4,80,1886,723,8780,118177,16094,,,8700,80,1828,58,705,18,174,-6,114100,4077
2020-04-23T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,100,19,119,236,355,-16,5,946,61,1362,29011,26187,,,1357,5,925,21,61,0,20,-1,27655,1356
2020-04-23T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,91,9,100,363,463,-38,1,506,127,1096,5227,8511,,,1095,1,467,39,127,0,8,1,5024,203
2020-04-23T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1189,140,1329,8596,9925,-66,143,5750,1206,16881,288075,4478,,,16738,143,5566,184,1181,25,163,-23,277543,10532
