data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-06-10T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,83,5,88,462,550,-17,0,2263,453,3266,86082,58766,,,3266,0,2248,15,451,2,4,1,84700,1382,57880,886
2020-06-10T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,1,0,1,10,11,-3,0,362,27,400,33551,32761,,,400,0,359,3,27,0,0,0,33185,366,32395,366
2020-06-10T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,18,0,18,36,54,-14,0,1008,97,1159,78174,76112,,,1159,0,994,14,97,0,0,0,77216,958,75154,958
2020-06-10T17:00:00,ITA,15,Campania,40.83956555,14.25084984,74,2,76,566,642,-33,1,3764,428,4834,223302,112309,,,4833,1,3732,32,426,2,3,-1,220662,2640,110583,1726
2020-06-10T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,228,25,253,1808,2061,-95,24,21717,4192,27970,375278,223413,,,27946,24,21605,112,4185,7,31,-6,367485,7793,218890,4523
2020-06-10T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,25,1,26,87,113,-15,2,2832,341,3286,152866,90061,,,3284,2,2816,16,340,1,2,-1,148889,3977,86257,3804
2020-06-10T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,368,47,415,2151,2566,-4,18,4533,770,7869,283630,229513,,,7851,18,4515,18,766,4,47,0,279572,4058,225930,3583
2020-06-10T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,110,3,113,132,245,-4,20,8096,1513,9854,121023,66009,,,9834,20,8076,20,1509,4,5,-2,118891,2132,65073,936
2020-06-10T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,2565,98,2663,15194,17857,-440,99,56474,16349,90680,845618,502047,,,90581,99,55967,507,16317,32,96,2,836313,9305,496273,5774
2020-06-10T17:00:00,ITA,11,Marche,43.61675973,13.5188753,29,0,29,918,947,-45,3,4811,992,6750,116320,70837,,,6747,3,4763,48,992,0,0,0,115510,810,70335,502
2020-06-10T17:00:00,ITA,14,Molise,41.55774754,14.65916051,0,2,2,118,120,0,1,296,23,439,17375,16611,,,438,1,295,1,23,0,2,0,17162,213,16411,200
2020-06-10T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,7,2,9,85,94,-1,0,2218,292,2604,73404,35148,,,2604,0,2217,1,292,0,2,0,72652,752,34607,541
2020-06-10T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,6,1,7,73,80,-1,0,3895,464,4439,97739,52412,,,4439,0,3894,1,464,0,1,0,96527,1212,51934,478
2020-06-10T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,564,35,599,2773,3372,-299,26,23568,3976,30916,353737,226874,,,30890,26,23258,310,3961,15,39,-4,348770,4967,224293,2581
2020-06-10T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,71,4,75,482,557,-56,0,3426,529,4512,138377,91918,,,4512,0,3373,53,526,3,5,-1,135625,2752,90248,1670
2020-06-10T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,9,1,10,40,50,-4,0,1180,131,1361,65175,55439,,,1361,0,1176,4,131,0,1,0,64272,903,54707,732
2020-06-10T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,40,6,46,807,853,0,1,2324,278,3455,171384,144193,,,3454,1,2323,1,278,0,6,0,168562,2822,142495,1698
2020-06-10T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,40,15,55,484,539,-89,3,8531,1078,10148,280491,198466,,,10145,3,8440,91,1077,1,17,-2,277092,3399,195695,2771
2020-06-10T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,13,2,15,13,28,-1,1,1332,76,1436,78366,55763,,,1435,1,1330,2,76,0,2,0,77427,939,55145,618
2020-06-10T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,3,0,3,3,6,-2,0,1041,144,1191,16141,12502,,,1191,0,1039,2,144,0,0,0,16040,101,12436,66
2020-06-10T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,66,0,66,899,965,-39,3,16268,1961,19194,773316,362400,,,19191,3,16226,42,1961,0,0,0,762098,11218,358948,3452
