data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-06-13T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,72,4,76,433,509,-19,4,2312,454,3275,90340,61177,,,3271,4,2290,22,453,1,4,0,88739,1601,60229,948
2020-06-13T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,1,1,10,11,-1,0,363,27,401,34681,33891,,,401,0,362,1,27,0,1,0,34377,304,33587,304
2020-06-13T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,15,1,16,29,45,-2,1,1020,97,1162,81255,79193,,,1161,1,1017,3,97,0,1,0,80063,1192,78001,1192
2020-06-13T17:00:00,ITA,15,Campania,40.83956555,14.25084984,67,2,69,268,337,-9,0,3841,430,4608,234666,118820,,,4608,0,3832,9,430,0,2,0,230551,4115,115842,2978
2020-06-13T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,192,15,207,1520,1727,-90,28,22130,4199,28056,400902,237236,,,28028,28,22015,115,4196,3,17,-2,393539,7363,231752,5484
2020-06-13T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,15,0,15,90,105,-3,6,2848,343,3296,158870,93222,,,3290,6,2840,8,342,1,0,0,157909,961,92278,944
2020-06-13T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,303,45,348,1009,1357,-865,25,5778,806,7941,294654,239788,dc-IT-0048,dc-EN-0048,7916,25,4913,865,781,25,47,-2,291869,2785,237100,2688
2020-06-13T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,91,3,94,150,244,-5,4,8113,1518,9875,125871,68333,,,9871,4,8106,7,1516,2,3,0,124320,1551,67544,789
2020-06-13T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,2252,96,2348,14437,16785,-239,210,58201,16428,91414,883305,524774,,,91204,210,57775,426,16405,23,97,-1,873831,9474,519095,5679
2020-06-13T17:00:00,ITA,11,Marche,43.61675973,13.5188753,22,0,22,655,677,-73,2,5084,993,6754,120308,72713,,,6752,2,5009,75,993,0,0,0,119045,1263,72169,544
2020-06-13T17:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,97,97,-17,0,319,23,439,18495,17630,,,439,0,302,17,23,0,1,-1,18112,383,17279,351
2020-06-13T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,7,2,9,86,95,-6,2,2224,291,2610,75735,36393,,,2608,2,2216,8,291,0,2,0,74859,876,35974,419
2020-06-13T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,5,1,6,64,70,2,3,3912,464,4446,102138,54175,,,4443,3,3911,1,464,0,1,0,100400,1738,53453,722
2020-06-13T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,510,27,537,2283,2820,-77,40,24203,4006,31029,365223,232980,,,30989,40,24096,107,3996,10,30,-3,361164,4059,230888,2092
2020-06-13T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,60,2,62,360,422,-17,0,3561,532,4515,145905,96053,,,4515,0,3544,17,532,0,2,0,143844,2061,94456,1597
2020-06-13T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,12,0,12,22,34,-8,0,1197,132,1363,68079,57763,,,1363,0,1190,7,131,1,1,-1,67069,1010,56937,826
2020-06-13T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,33,3,36,806,842,1,1,2335,279,3456,178319,149516,,,3455,1,2335,0,279,0,3,0,176233,2086,147871,1645
2020-06-13T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,33,16,49,453,502,-8,7,8588,1082,10172,289524,204513,,,10165,7,8575,13,1080,2,14,2,286693,2831,202577,1936
2020-06-13T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,10,1,11,10,21,-3,0,1339,76,1436,81155,57511,,,1436,0,1336,3,76,0,1,0,80190,965,56914,597
2020-06-13T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,7,0,7,0,7,-2,0,1040,144,1191,16476,12736,,,1191,0,1038,2,144,0,0,0,16374,102,12671,65
2020-06-13T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,41,1,42,736,778,-71,13,16457,1977,19212,798290,368659,,,19199,13,16383,74,1967,10,0,1,795260,3030,367579,1080
