data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-07-03T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,27,0,27,129,156,-4,6,2678,464,3104,194,3298,108363,71976,,3292,6,2668,10,464,0,0,0,107535,828,71520,456
2020-07-03T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,4,4,2,2,373,27,401,3,404,40333,39553,"NEL TOTALE CASI POSITIVI SONO COMPRESI ULTERIORI N. 2 SOGGETTI RISULTATI POSITIVI PER ATTIVITA' DI SCREENING, ASINTOMATICI ED  IN ISOLAMENTO DOMICILIARE, NON RESIDENTI E PROVENIENTI DA STATO ESTERO.  ",402,2,373,0,27,0,0,0,40041,292,39261,292
2020-07-03T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,4,0,4,21,25,0,1,1060,97,1159,23,1182,97852,95818,,1181,1,1059,1,97,0,0,0,96914,938,94880,938
2020-07-03T17:00:00,ITA,15,Campania,40.83956555,14.25084984,35,0,35,162,197,7,10,4083,432,4682,30,4712,289253,142219,,4702,10,4080,3,432,0,0,0,286812,2441,140525,1694
2020-07-03T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,87,9,96,915,1011,8,27,23284,4267,27990,572,28562,508691,304202,,28535,27,23267,17,4265,2,9,0,504288,4403,301588,2614
2020-07-03T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,6,0,6,62,68,6,4,2905,345,3315,3,3318,196975,108444,,3314,4,2907,-2,345,0,0,0,194395,2580,107907,537
2020-07-03T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,188,11,199,627,826,-5,11,6475,840,6008,2133,8141,346239,283710,,8130,11,6460,15,839,1,11,0,343882,2357,281743,1967
2020-07-03T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,40,3,43,240,283,2,3,8146,1558,8723,1264,9987,151324,80887,,9984,3,8145,1,1558,0,3,0,149910,1414,80201,686
2020-07-03T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,241,41,282,9395,9677,-150,115,67871,16675,88834,5389,94223,1064173,636860,,94108,115,67610,261,16671,4,41,0,1054415,9758,630993,5867
2020-07-03T17:00:00,ITA,11,Marche,43.61675973,13.5188753,6,0,6,221,227,-11,0,5575,987,6789,0,6789,140965,85256,,6789,0,5564,11,987,0,0,0,139893,1072,84572,684
2020-07-03T17:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,21,21,0,0,401,23,444,1,445,23262,22167,,445,0,401,0,23,0,0,0,23115,147,22013,154
2020-07-03T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,3,0,3,80,83,-1,0,2267,292,2642,0,2642,85938,42017,,2642,0,2266,1,292,0,0,0,85423,515,41686,331
2020-07-03T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,2,0,2,44,46,0,6,4420,405,3380,1491,4871,125206,64218,,4865,6,4414,6,405,0,0,0,123864,1342,63787,431
2020-07-03T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,235,10,245,1030,1275,-24,16,26019,4100,26872,4522,31394,452052,264608,,31378,16,25983,36,4096,4,11,-1,422647,29405,263385,1223
2020-07-03T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,21,0,21,88,109,0,3,3879,545,2152,2381,4533,184749,123414,Per 1482 casi non ̬ disponibile la provenienza,4530,3,3876,3,545,0,0,0,182713,2036,122302,1112
2020-07-03T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,6,0,6,8,14,1,1,1222,133,1360,9,1369,86534,72993,,1368,1,1222,0,133,0,0,0,85381,1153,72197,796
2020-07-03T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,16,2,18,117,135,1,1,2674,282,2749,342,3091,217147,176956,,3090,1,2674,0,282,0,3,-1,214317,2830,174795,2161
2020-07-03T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,13,3,16,307,323,-1,9,8832,1112,10049,218,10267,347127,234084,,10258,9,8825,7,1109,3,3,0,344383,2744,232951,1133
2020-07-03T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,4,0,4,6,10,-1,2,1356,80,1432,14,1446,98488,66783,,1444,2,1353,3,80,0,1,-1,97698,790,66402,381
2020-07-03T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,3,0,3,1,4,1,1,1046,146,1082,114,1196,18576,13966,,1195,1,1046,0,146,0,0,0,18479,97,13911,55
2020-07-03T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,19,0,19,371,390,-7,5,16901,2023,19263,51,19314,992568,417996,,19309,5,16890,11,2022,1,0,0,982614,9954,415828,2168
