data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-07-25T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,11,2,13,99,112,-1,3,2777,470,3130,229,3359,123996,81641,,3356,3,2773,4,470,0,2,0,123200,796,81191,450
2020-07-25T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,2,0,2,44,46,0,1,374,28,402,46,448,45706,44921,"AI CASI GIA' SEGNALATI SI AGGIUNGE UN CITTADINO ORIGINARIO DEL MAROCCO, ASINTOMATICO,  RISULTATO POSITIVO PER ATTIVITA' DI SCREENING ED OGGETTO DI CONFERMA PRESSO IL LABORATORIO DI II LIVELLO.",447,1,373,1,28,0,0,0,45346,360,44561,360
2020-07-25T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,3,0,3,76,79,1,1,1071,97,1159,88,1247,115719,113685,,1246,1,1071,0,97,0,0,0,114770,949,112736,949
2020-07-25T17:00:00,ITA,15,Campania,40.83956555,14.25084984,28,2,30,311,341,9,21,4126,434,4837,64,4901,322294,163877,,4880,21,4114,12,434,0,2,0,319860,2434,162108,1769
2020-07-25T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,78,4,82,1317,1399,27,49,23778,4284,28269,1192,29461,609845,364681,In seguito a verifica sui dati comunicati nei giorni passati ̬ stato eliminato 1 caso (da Bologna) in quanto giudicato non caso COVID-19. Si corregge pertanto il numero totale dei casi positivi comunicato ieri: n corretto 29412,29413,48,23758,20,4283,1,4,0,603288,6557,361148,3533
2020-07-25T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,8,2,10,93,103,5,5,2925,345,3359,14,3373,239572,121861,,3368,5,2925,0,345,0,2,0,237371,2201,121040,821
2020-07-25T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,186,9,195,733,928,12,19,6749,858,6162,2373,8535,402012,331790,,8516,19,6743,6,857,1,9,0,399130,2882,329353,2437
2020-07-25T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,27,0,27,173,200,2,3,8381,1566,8463,1684,10147,179747,96298,,10144,3,8380,1,1566,0,0,0,178615,1132,95636,662
2020-07-25T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,148,13,161,6614,6775,16,79,72271,16801,89482,6365,95847,1253500,752200,,95768,79,72208,63,16801,0,17,-4,1242775,10725,746025,6175
2020-07-25T17:00:00,ITA,11,Marche,43.61675973,13.5188753,3,1,4,125,129,-3,2,5702,987,6818,0,6818,161615,96918,,6816,2,5697,5,987,0,1,0,160592,1023,96414,504
2020-07-25T17:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,21,21,3,3,419,23,461,2,463,26749,25598,,460,3,419,0,23,0,0,0,26589,160,25438,160
2020-07-25T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,6,0,6,81,87,4,6,2314,292,2693,0,2693,100311,51322,,2687,6,2312,2,292,0,0,0,99351,960,50667,655
2020-07-25T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,2,0,2,86,88,1,2,4466,405,3391,1568,4959,147418,70932,,4957,2,4465,1,405,0,0,0,145952,1466,70520,412
2020-07-25T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,141,5,146,646,792,16,16,26677,4125,25540,6054,31594,483764,297089,,31578,16,26679,-2,4123,2,5,0,481626,2138,295873,1216
2020-07-25T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,16,0,16,60,76,9,8,3961,549,1984,2602,4586,227533,156395,,4578,8,3962,-1,549,0,0,0,225690,1843,155202,1193
2020-07-25T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,6,0,6,13,19,3,3,1235,134,1364,24,1388,102749,87120,,1385,3,1235,0,134,0,0,0,101985,764,86544,576
2020-07-25T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,15,2,17,164,181,11,13,2715,283,2770,409,3179,262154,208167,,3166,13,2713,2,283,0,2,0,259946,2208,206743,1424
2020-07-25T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,13,0,13,330,343,8,10,8941,1131,10186,229,10415,407195,271049,,10405,10,8939,2,1131,0,0,0,404349,2846,269409,1640
2020-07-25T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,7,0,7,10,17,-2,0,1368,80,1444,21,1465,116596,75819,,1465,0,1366,2,80,0,0,0,115741,855,75407,412
2020-07-25T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,1,0,1,0,1,0,0,1049,146,1079,117,1196,20776,15193,,1196,0,1049,0,146,0,0,0,20745,31,15168,25
2020-07-25T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,30,1,31,674,705,20,31,17021,2064,19355,435,19790,1170795,471262,,19759,31,17011,10,2063,1,2,-1,1161454,9341,468576,2686
