data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-08-11T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,23,1,24,195,219,0,3,2821,472,3166,346,3512,136795,88902,,3509,3,2818,3,472,0,1,0,136365,430,88650,252
2020-08-11T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,73,73,1,1,376,28,402,75,477,49641,48851,"N. 1 CASO POSITIVO, ALLA DATA ODIERNA ASINTOMATICO, RESIDENTE IN BASILICATA, PROVENIENTE DALLA REGIONE LOMBARDIA OVE E' DOMICILIATO E VIVE STABILMENTE, INDIVIDUATO CON ATTIVITA' DI SCREENING ED ATTUALMENTE ISOLAMENTO DOMICILIARE.",476,1,376,0,28,0,0,0,49392,249,48602,249
2020-08-11T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,8,1,9,103,112,11,11,1091,97,1159,141,1300,129136,127102,,1289,11,1091,0,97,0,1,0,128190,946,126156,946
2020-08-11T17:00:00,ITA,15,Campania,40.83956555,14.25084984,44,2,46,356,402,4,23,4272,440,5027,87,5114,351505,184220,,5091,23,4254,18,439,1,1,1,350363,1142,183401,819
2020-08-11T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,76,4,80,1710,1790,-1,19,24091,4298,28546,1633,30179,737749,442538,,30160,19,24073,18,4296,2,4,0,731849,5900,440041,2497
2020-08-11T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,8,3,11,145,156,-8,3,2948,348,3420,32,3452,272158,132027,"A seguito di una verifica interna sulla correttezza dei dati relativi a COVID-19, ̬ emerso un decesso occorso in data 12/07 non precedentemente comunicato. Si corregge quindi il totale dei decessi",3449,3,2938,10,347,1,3,0,269791,2367,131332,695
2020-08-11T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,203,9,212,889,1101,20,23,6915,867,6264,2619,8883,444980,364395,,8860,23,6912,3,867,0,8,1,442833,2147,362827,1568
2020-08-11T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,18,2,20,203,223,11,11,8512,1569,8462,1842,10304,203325,108894,,10293,11,8512,0,1569,0,2,0,202008,1317,108164,730
2020-08-11T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,160,10,170,5344,5514,-33,68,74605,16833,90081,6871,96952,1379246,824917,,96884,68,74504,101,16833,0,9,1,1374709,4537,822142,2775
2020-08-11T17:00:00,ITA,11,Marche,43.61675973,13.5188753,11,0,11,151,162,-3,4,5811,987,6960,0,6960,177759,106017,,6956,4,5804,7,987,0,0,0,176830,929,105420,597
2020-08-11T17:00:00,ITA,14,Molise,41.55774754,14.65916051,1,0,1,32,33,0,0,423,23,475,4,479,29271,28105,,479,0,423,0,23,0,0,0,29162,109,28003,102
2020-08-11T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,6,0,6,122,128,0,1,2355,292,2775,0,2775,115114,59794,,2774,1,2354,1,292,0,0,0,114630,484,59515,279
2020-08-11T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,5,0,5,70,75,-4,2,4518,405,3400,1598,4998,163615,75417,,4996,2,4512,6,405,0,0,0,162989,626,75139,278
2020-08-11T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,85,3,88,734,822,13,26,26956,4136,24895,7019,31914,524849,319943,,31888,26,26943,13,4136,0,3,0,522100,2749,318659,1284
2020-08-11T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,38,1,39,190,229,16,20,3977,554,1823,2937,4760,258978,179205,per 880 casi non e' disponibile la provenienza,4740,20,3973,4,554,0,1,0,256997,1981,177798,1407
2020-08-11T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,6,0,6,76,82,20,20,1245,134,1377,84,1461,114271,96725,,1441,20,1245,0,134,0,0,0,113405,866,95974,751
2020-08-11T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,44,6,50,488,538,88,89,2752,284,2927,647,3574,299393,231949,,3485,89,2751,1,284,0,6,0,296533,2860,230105,1844
2020-08-11T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,18,1,19,516,535,17,22,9002,1137,10397,277,10674,454393,298892,,10652,22,8997,5,1137,0,1,0,451421,2972,297261,1631
2020-08-11T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,9,0,9,43,52,-2,1,1379,80,1458,53,1511,129301,82253,,1510,1,1376,3,80,0,0,0,128298,1003,81825,428
2020-08-11T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,5,0,5,10,15,0,0,1056,146,1099,118,1217,22631,16228,,1217,0,1056,0,146,0,0,0,22524,107,16161,67
2020-08-11T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,33,6,39,1261,1300,43,65,17356,2085,19561,1180,20741,1322808,513323,,20676,65,17336,20,2083,2,6,0,1315887,6921,510459,2864
