data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-08-30T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,37,1,38,391,429,34,34,2872,472,3331,442,3773,156774,101829,,3739,34,2872,0,472,0,1,0,154590,2184,100339,1490
2020-08-30T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,1,1,2,86,88,1,1,408,28,405,119,524,56001,55211,IN DATA ODIERNA SI COMUNICA UNICAMENTE LA POSITIVITA' DI N. 1 CASO RISCONTRATO. IL NUMERO TOTALE DEI TAMPONI NF EFFETTUATI/CASI TESTATI ODIERNO SARA' COMUNICATO CUMULANDOLO CON I DATI DEL 31 AGOSTO 2020. ,523,1,408,0,28,0,1,0,56000,1,55210,1
2020-08-30T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,17,0,17,215,232,34,34,1148,97,1159,318,1477,159919,152885,,1443,34,1148,0,97,0,0,0,153540,6379,151506,1379
2020-08-30T17:00:00,ITA,15,Campania,40.83956555,14.25084984,110,4,114,1911,2025,254,270,4412,445,6243,639,6882,413478,233301,,6612,270,4396,16,445,0,2,2,406749,6729,227878,5423
2020-08-30T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,99,11,110,2758,2868,99,109,24478,4459,29294,2511,31805,893601,524656,,31696,109,24468,10,4459,0,10,1,884399,9202,519748,4908
2020-08-30T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,15,1,16,344,360,12,16,3056,348,3636,128,3764,325275,152158,,3748,16,3052,4,348,0,0,1,323840,1435,151497,661
2020-08-30T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,310,7,317,2718,3035,153,156,7130,878,6686,4357,11043,571389,466475,,10887,156,7127,3,878,0,8,-1,558605,12784,455146,11329
2020-08-30T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,32,1,33,476,509,16,53,8827,1571,8670,2237,10907,236042,127057,,10854,53,8790,37,1571,0,1,0,234286,1756,126071,986
2020-08-30T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,194,20,214,6615,6829,184,235,76248,16863,91582,8358,99940,1586967,966973,,99705,235,76200,48,16860,3,18,2,1574104,12863,957455,9518
2020-08-30T17:00:00,ITA,11,Marche,43.61675973,13.5188753,12,1,13,289,302,6,15,5949,987,7238,0,7238,204089,121344,,7223,15,5940,9,987,0,1,0,202668,1421,120551,793
2020-08-30T17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,0,3,67,70,1,1,432,23,502,23,525,33383,32155,,524,1,432,0,23,0,0,0,33077,306,31853,302
2020-08-30T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,8,2,10,180,190,0,8,2450,292,2932,0,2932,137117,72684,,2924,8,2442,8,292,0,2,0,136144,973,72200,484
2020-08-30T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,3,1,4,83,87,3,8,4600,405,3445,1647,5092,186481,82952,,5084,8,4595,5,405,0,1,0,185428,1053,82538,414
2020-08-30T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,85,5,90,1315,1405,22,60,27293,4146,24400,8444,32844,585831,359814,,32784,60,27256,37,4145,1,5,0,582786,3045,357323,2491
2020-08-30T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,117,5,122,695,817,69,69,4029,556,2004,3398,5402,303046,213959,,5333,69,4029,0,556,0,5,0,300338,2708,212037,1922
2020-08-30T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,28,3,31,681,712,21,22,1268,134,1563,551,2114,134534,114114,,2092,22,1267,1,134,0,2,1,133400,1134,113122,992
2020-08-30T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,68,10,78,1036,1114,30,34,2891,286,3152,1139,4291,346347,266061,,4257,34,2887,4,286,0,10,0,343982,2365,264227,1834
2020-08-30T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,48,5,53,1450,1503,82,98,9141,1141,10695,1090,11785,535080,353231,,11687,98,9125,16,1141,0,5,0,528647,6433,348617,4614
2020-08-30T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,10,1,11,251,262,24,31,1442,80,1518,266,1784,153666,95419,,1753,31,1435,7,80,0,1,0,152004,1662,94548,871
2020-08-30T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,2,0,2,21,23,4,2,1063,146,1108,124,1232,24783,17533,,1230,2,1065,-2,146,0,0,0,24678,105,17463,70
2020-08-30T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,52,7,59,1286,1345,0,109,19399,2120,19964,2900,22864,1547538,607977,,22755,109,19290,109,2120,0,6,1,1540353,7185,604918,3059
