data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,ricoverati_con_sintomi_ieri,nuovi_ricoverati_con_sintomi,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-10-14T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,154,15,169,1632,1801,122,126,3156,489,4555,891,5446,231053,146193,,5320,126,3153,3,146,8,488,1,15,0,228524,2529,144769,1424
2020-10-14T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,35,0,35,469,504,7,9,534,37,435,640,1075,84449,83619,,1066,9,532,2,34,1,37,0,0,0,83481,968,82651,968
2020-10-14T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,44,1,45,801,846,48,60,1498,104,1159,1289,2448,228678,226572,,2388,60,1486,12,42,2,104,0,1,0,226243,2435,224137,2435
2020-10-14T17:00:00,ITA,15,Campania,40.83956555,14.25084984,735,61,796,11647,12443,665,818,7715,487,18656,1989,20645,709225,476051,,19827,818,7564,151,694,41,485,2,62,-1,697829,11396,467964,8087
2020-10-14T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,383,35,418,6730,7148,272,339,27045,4502,32848,5847,38695,1326602,736069,,38356,339,26982,63,323,60,4498,4,31,4,1310995,15607,728221,7848
2020-10-14T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,28,11,39,1515,1554,150,182,3882,356,5344,448,5792,460113,203239,,5610,182,3850,32,27,1,356,0,10,1,454083,6030,200782,2457
2020-10-14T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,937,85,1022,10041,11063,426,543,9350,994,9644,11763,21407,1060208,872710,,20864,543,9238,112,896,41,989,5,83,2,1044724,15484,861669,11041
2020-10-14T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,286,29,315,2760,3075,152,362,11566,1623,11297,4967,16264,357813,190129,,15902,362,11357,209,272,14,1622,1,27,2,353832,3981,188093,2036
2020-10-14T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,645,64,709,14509,15218,962,1844,84415,17011,101508,15136,116644,2379156,1488016,,114800,1844,83550,865,546,99,16994,17,62,2,2350108,29048,1469625,18391
2020-10-14T17:00:00,ITA,11,Marche,43.61675973,13.5188753,64,8,72,1465,1537,142,166,6349,992,8878,0,8878,273839,160725,,8712,166,6325,24,60,4,992,0,6,2,270757,3082,158948,1777
2020-10-14T17:00:00,ITA,14,Molise,41.55774754,14.65916051,9,0,9,215,224,14,18,563,26,770,43,813,50091,47924,,795,18,559,4,10,-1,26,0,0,0,49398,693,47568,356
2020-10-14T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,54,3,57,1061,1118,124,124,2856,293,4267,0,4267,196147,101569,,4143,124,2856,0,54,0,293,0,3,0,194574,1573,100855,714
2020-10-14T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,20,0,20,638,658,-27,29,5471,413,3889,2653,6542,253780,106152,,6513,29,5417,54,20,0,411,2,0,0,251213,2567,105581,571
2020-10-14T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,562,33,595,5792,6387,422,499,29467,4187,24827,15214,40041,814570,482280,,39542,499,29394,73,483,79,4183,4,30,3,808603,5967,480303,1977
2020-10-14T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,311,23,334,3895,4229,231,315,5317,618,2877,7287,10164,467815,330789,Per 890 casi non ̬ disponibile la provenienza,9849,315,5235,82,310,1,616,2,23,0,461971,5844,327324,3465
2020-10-14T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,172,26,198,2728,2926,26,122,2323,168,2275,3142,5417,218661,184574,,5295,122,2227,96,164,8,168,0,26,0,216503,2158,182625,1949
2020-10-14T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,447,49,496,4691,5187,310,366,4762,343,6582,3710,10292,568187,407145,,9926,366,4708,54,426,21,341,2,44,5,561166,7021,402751,4394
2020-10-14T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,229,46,275,7152,7427,510,575,11071,1183,14954,4727,19681,867671,583506,,19106,575,11008,63,218,11,1181,2,44,2,856638,11033,576101,7405
2020-10-14T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,71,12,83,1540,1623,132,141,2035,91,1863,1886,3749,239714,142109,,3608,141,2027,8,68,3,90,1,11,1,236287,3427,140125,1984
2020-10-14T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,13,3,16,279,295,37,37,1125,146,1415,151,1566,32021,21997,,1529,37,1125,0,11,2,146,0,3,0,31763,258,21861,136
2020-10-14T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,271,35,306,6876,7182,527,657,23565,2226,22436,10537,32973,2095102,818552,,32316,657,23435,130,272,-1,2226,0,33,2,2074007,21095,810366,8186
