data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,ricoverati_con_sintomi_ieri,nuovi_ricoverati_con_sintomi,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-11-12T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,547,52,599,10817,11416,466,541,5029,646,8236,8855,17091,330704,200964,,16550,541,4956,73,546,1,644,2,51,1,328068,2636,199985,979
2020-11-12T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,134,19,153,3187,3340,192,202,837,72,1495,2754,4249,120747,119885,IN CORSO REVISIONE DATI PER TAMPONI TOTALI EFFETTUATI E CASI TESTATI E PER TOTALE CASI POSITIVI RESIDENTI IN REGIONE BASILICATA,4047,202,830,7,133,1,69,3,19,0,119132,1615,118262,1623
2020-11-12T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,298,21,319,6241,6560,423,426,2402,157,1378,7741,9119,310924,307797,,8693,426,2400,2,286,12,156,1,18,3,307611,3313,304484,3313
2020-11-12T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1944,192,2136,77923,80059,3389,4065,19000,927,97279,2707,99986,1196072,834920,,95921,4065,18355,645,2077,-133,896,31,181,11,1172232,23840,815377,19543
2020-11-12T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2094,228,2322,43702,46024,2133,2402,29735,4925,53583,27101,80684,1804471,947920,In seguito a verifica sui dati comunicati nei giorni passati è stato eliminato 1 caso in quanto giudicato non caso COVID-19.,78283,2401,29516,219,2072,22,4876,49,222,6,1784161,20310,939211,8709
2020-11-12T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,346,47,393,8254,8647,482,838,7795,498,14675,2265,16940,603277,248809,,16102,838,7448,347,346,0,489,9,46,1,595748,7529,246668,2141
2020-11-12T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2953,259,3212,56707,59919,2336,2686,14269,1552,22720,53020,75740,1753939,1425173,,73054,2686,13968,301,2913,40,1503,49,255,4,1724820,29119,1403357,21816
2020-11-12T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,1363,109,1472,13189,14661,706,1013,23554,2040,28067,12188,40255,509052,258621,,39242,1013,23278,276,1315,48,2009,31,98,11,503245,5807,256277,2344
2020-11-12T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,7047,782,7829,134964,142793,875,9291,132254,18910,224343,69614,293957,3420606,2086645,,284666,9291,124025,8229,6907,140,18723,187,764,18,3377673,42933,2066395,20250
2020-11-12T17:00:00,ITA,11,Marche,43.61675973,13.5188753,536,74,610,11602,12212,698,834,7795,1083,20830,260,21090,357212,209704,,20256,834,7665,130,536,0,1077,6,74,0,353026,4186,207157,2547
2020-11-12T17:00:00,ITA,14,Molise,41.55774754,14.65916051,55,7,62,1762,1824,68,73,841,61,2676,50,2726,72790,68089,,2653,73,840,1,48,7,57,4,8,-1,72092,698,67422,667
2020-11-12T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,448,42,490,8745,9235,350,694,5564,365,15164,0,15164,266490,134708,"TOTALE TEST ANTIGENICI RAPIDI EFFETTUATI : 1193
TOTALE TEST ANTIGENICI RAPIDI POSITIVI : 245
TOTALE POSITIVI AL TEST ANTIGENICO E SINTOMATICI : 45",14470,694,5226,338,427,21,359,6,37,5,263053,3437,133275,1433
2020-11-12T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,338,30,368,2465,2833,46,253,8566,493,6473,5419,11892,319005,120443,,11639,253,8367,199,307,31,485,8,31,-1,316663,2342,119756,687
2020-11-12T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,4833,348,5181,58017,63198,2844,4787,43953,4903,47320,64734,112054,1216816,770475,,107267,4787,42087,1866,4790,43,4826,77,340,8,1191915,24901,755259,15216
2020-11-12T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1193,145,1338,19917,21255,1156,1434,8252,935,8536,21906,30442,638141,453311,Per 943 casi non è disponibile la provenienza,29008,1434,8013,239,1131,62,896,39,142,3,629205,8936,448063,5248
2020-11-12T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,424,56,480,8891,9371,190,301,4125,298,5464,8330,13794,308919,260989,,13493,301,4019,106,418,6,293,5,54,2,304775,4144,257715,3274
2020-11-12T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1391,205,1596,23318,24914,1350,1692,10958,802,22634,14040,36674,789702,548214,,34982,1692,10656,302,1376,15,762,40,202,3,780247,9455,541877,6337
2020-11-12T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,1653,256,1909,47007,48916,1016,1932,21198,1738,58012,13840,71852,1275580,830926,effettuati  37745 tamponi rapidi antigenici di cui 2785 odierni,69920,1932,20319,879,1628,25,1701,37,246,10,1259794,15786,822966,7960
2020-11-12T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,354,69,423,10361,10784,450,783,6026,226,4809,12227,17036,346677,197139,,16253,783,5701,325,359,-5,218,8,68,1,340853,5824,194467,2672
2020-11-12T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,159,16,175,2163,2338,6,167,2186,231,4201,554,4755,48023,28810,,4588,167,2031,155,160,-1,225,6,17,-1,47373,650,28237,573
2020-11-12T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1763,213,1976,52779,54755,2520,3564,33419,2727,26696,64205,90901,2511361,971907,Tamponi antigenici 519.458,87337,3564,32413,1006,1669,94,2689,38,208,5,2494150,17211,965761,6146
