data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,ricoverati_con_sintomi_ieri,nuovi_ricoverati_con_sintomi,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2020-12-18T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,559,42,601,12574,13175,-250,227,18815,1111,,,33101,480066,259774,,3,,,32874,227,18347,468,584,-25,1102,9,49,-7,476211,3855,258633,1141
2020-12-18T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,99,10,109,5928,6037,-38,73,3635,218,,,9890,172516,112879,,1,N.B. DATO PERSONE TESTATE RICALCOLATO E DERIVATO DA VERIFICA PIATTAFORMA COVID 19 REGIONE BASILICATA.,,9817,73,3525,110,106,-7,217,1,10,0,171194,1322,170349,-57470
2020-12-18T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,294,21,315,8188,8503,-449,229,11803,414,,,20720,409863,395320,,2,,,20491,229,11131,672,296,-2,408,6,21,0,406971,2892,392579,2741
2020-12-18T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1621,120,1741,82956,84697,-1856,1201,91503,2528,,,178728,1878169,1267024,,0,,,177527,1201,88502,3001,1656,-35,2472,56,119,1,1860023,18146,1257621,9403
2020-12-18T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2764,207,2971,59355,62326,-251,1745,82928,6950,,,152204,2398435,1171966,In seguito a verifica sui dati comunicati nei giorni passati è stato eliminato 1 caso in quanto giudicato non caso COVID-19.,24,,,150460,1744,81008,1920,2801,-37,6875,75,206,1,2381673,16762,1167304,4662
2020-12-18T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,601,59,660,13091,13751,530,753,28409,1399,,,43559,854622,319134,,6,"per problemi tecnici i dati comunicati oggi sono parziali, i dati mancanti saranno riportati nelle comunicazioni successive",,42806,753,28219,190,630,-29,1366,33,57,2,846841,7781,319134,0
2020-12-18T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2780,310,3090,74069,77159,-1471,1428,66006,3230,,,146395,2537032,1972934,,9,,,144967,1428,63181,2825,2860,-80,3156,74,311,-1,2521048,15984,1965889,7045
2020-12-18T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,716,70,786,6680,7466,-163,287,46801,2754,,,57021,668390,310786,,2,I 126843 test antigenici rapidi sono riferiti a partire dal 02/11/2020;  in Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare.,,56734,287,46381,420,746,-30,2724,30,69,1,664622,3768,309643,1143
2020-12-18T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,4656,602,5258,62952,68210,169,2744,363044,24225,,,455479,4580347,2512713,,22,,,452735,2744,360529,2515,4793,-137,24165,60,611,-9,4546501,33846,2500519,12194
2020-12-18T17:00:00,ITA,11,Marche,43.61675973,13.5188753,427,64,491,10051,10542,-290,381,24527,1459,,,36528,477649,280435,,4,,,36147,381,23869,658,436,-9,1446,13,67,-3,472564,5085,277059,3376
2020-12-18T17:00:00,ITA,14,Molise,41.55774754,14.65916051,57,9,66,2669,2735,20,73,3016,172,,,5923,107405,98979,,0,,,5850,73,2963,53,58,-1,172,0,10,-1,106494,911,98138,841
2020-12-18T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,175,23,198,10545,10743,31,169,16259,679,,,27681,342805,157406,,3,,,27512,169,16127,132,190,-15,673,6,22,1,341608,1197,156988,418
2020-12-18T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,378,50,428,2432,2860,-191,251,16109,835,,,19804,423850,147056,,3,,"Dei 251 casi odierni, 116 sono molecolari con precedente antigenico positivo",19553,251,15681,428,408,-30,821,14,48,2,420578,3272,146589,467
2020-12-18T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,3516,243,3759,37541,41300,-4243,1210,139129,7461,,,187890,1595851,953662,,14,In ottemperanza alle indicazioni ministeriali dal computo complessivo delle persone testate e dei test processati sono stati sottratti i test antigenici.,In ottemperanza alle indicazioni ministeriali dal computo complessivo dei casi positivi sono stati sottratti quelli positivi ai test antigenici con link epidemiologico.,189270,-1380,136345,2784,3597,-81,7382,79,240,3,1586358,9493,1060337,-106675
2020-12-18T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1457,174,1631,51203,52834,218,1314,23462,2130,,,78426,940923,612809,,28,,,77112,1314,22396,1066,1474,-17,2100,30,179,-5,931577,9346,608774,4035
2020-12-18T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,547,53,600,15017,15617,78,285,11434,644,,,27695,440923,369446,,1,,Si segnala il decesso dei pz.: -1 uomo 69 aa residente nella provincia del Sud Sardegna -1 uomo 69 aa residente nella città metropolitana di Cagliari -1 donna 88 aa residente nella città metropolitana di Cagliari -1 uomo 83 aa residente nella città metropolitana di Cagliari -1 uomo 80 aa residente nella provincia del Sud Sardegna -1 uomo 75 aa residente nella provincia del Sud Sardegna -1 uomo 81 aa residente nella città metropolitana di Cagliari -1 donna 87 aa residente nella provincia di Sassari -2 decessi avvenuti nella provincia di Nuoro ,27410,285,11237,197,558,-11,634,10,56,-3,436182,4741,365221,4225
2020-12-18T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1091,182,1273,32592,33865,-823,731,46885,2109,,,82859,1126037,755132,,19,,,82128,731,45353,1532,1131,-40,2087,22,179,3,1117928,8109,750056,5076
2020-12-18T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,1009,191,1200,12319,13519,-741,514,97851,3390,,,114760,1768982,1022788,,9,"Positivi diagnosticati solo con test antigenico rapido: in questo momento non è procedura adottatata da Regione Toscana, pertanto il valore è pari a zero",,114246,514,96638,1213,1062,-53,3348,42,199,-8,1757598,11384,1019118,3670
2020-12-18T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,265,43,308,3637,3945,-65,142,22411,553,,,26909,469887,241362,,3,,,26767,142,22208,203,270,-5,549,4,42,1,467015,2872,240515,847
2020-12-18T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,70,7,77,423,500,5,24,6121,365,,,6986,59599,36064,,0,,,6962,24,6105,16,70,0,362,3,8,-1,59366,233,35964,100
2020-12-18T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,2687,339,3026,94988,98014,2235,4211,105938,5268,,,209220,3082169,1152419,,36,,,205009,4211,104069,1869,2701,-14,5161,107,352,-13,3063368,18801,1146309,6110
