data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,ricoverati_con_sintomi_ieri,nuovi_ricoverati_con_sintomi,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2021-01-15T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,443,41,484,10763,11247,67,240,26276,1311,,,38834,558267,283574,,4,,,38594,240,26105,171,453,-10,1309,2,40,1,554396,3871,282109,1465
2021-01-15T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,80,4,84,6748,6832,27,78,5244,289,,,12365,199103,124461,"N. 7 decessi del mese di dicembre 2020 sono da attribuire a casi positivi per SARS CoV-2 non residenti, deceduti in strutture ospedaliere della Regione Basilicata.",0,,E' IN CORSO VERIFICA E VALIDAZIONE DEL NUMERO TOTALE DEI GUARITI DELLA REGIONE BASILICATA.,12287,78,5196,48,80,0,286,3,4,0,197440,1663,124057,404
2021-01-15T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,285,27,312,9498,9810,143,405,18087,530,,,28427,476032,454070,,1,,,28022,405,17829,258,284,1,526,4,29,-2,473082,2950,451787,2283
2021-01-15T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1401,93,1494,71439,72933,180,1150,128728,3335,,,204996,2208602,1470534,,7,,,203846,1150,127795,933,1365,36,3298,37,104,-11,2194673,13929,1461530,9004
2021-01-15T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2511,231,2742,52768,55510,-438,1794,134711,8657,,,198878,2774816,1289999,In seguito a verifica sui dati comunicati nei giorni passati sono stati eliminati 2 casi in quanto giudicati non casi COVID-19.,10,,,197086,1792,132548,2163,2610,-99,8590,67,233,-2,2752436,22380,1285504,4495
2021-01-15T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,688,68,756,12123,12879,16,919,44597,2035,,,59511,1022612,365548,,6,,,58592,919,43723,874,668,20,2006,29,68,0,1011978,10634,361869,3679
2021-01-15T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2780,299,3079,74676,77755,-225,1394,105021,4342,,,187118,2909237,2140660,,13,"Come da indicazioni, vengono inseriti solo i Tamponi processati con test antigenico nelle  24 ore precedenti","Come da indicazioni, vengono inseriti solo i casi confermati da test antigenico nelle  24 ore precedenti",185724,1394,103438,1583,2814,-34,4306,36,295,4,2880995,28242,2124460,16200
2021-01-15T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,668,59,727,4307,5034,-40,254,57096,3084,,,65214,764447,340315,,0,I 2243 test antigenici rapidi sono riferiti alle 24 ore precedenti come richiesto nella comunicazione e-mail del 13/01/2021;  in Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare.,,64960,254,56812,284,678,-10,3074,10,65,-6,758219,6228,338106,2209
2021-01-15T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,3601,466,4067,53087,57154,1054,2205,427181,26094,,,510429,5171810,2713639,,19,,,508224,2205,426098,1083,3614,-13,26026,68,468,-2,5137863,33947,2704477,9162
2021-01-15T17:00:00,ITA,11,Marche,43.61675973,13.5188753,587,82,669,11020,11689,-504,629,35810,1763,,,49262,606048,362659,,9,,,48633,629,34687,1123,583,4,1753,10,76,6,597883,8165,358740,3919
2021-01-15T17:00:00,ITA,14,Molise,41.55774754,14.65916051,56,7,63,1067,1130,-17,39,6026,226,,,7382,125405,114123,,0,,,7343,39,5974,52,57,-1,222,4,8,-1,124521,884,113523,600
2021-01-15T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,209,23,232,11575,11807,202,529,20106,802,,,32715,393231,169639,,2,,,32186,529,19785,321,212,-3,796,6,23,0,386047,7184,168946,693
2021-01-15T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,304,42,346,1962,2308,230,362,21393,1051,,,24752,480620,156662,,4,,"Dei 362 casi odierni, 169 sono molecolari con precedente antigenico positivo",24390,362,21271,122,316,-12,1041,10,42,0,477138,3482,156362,300
2021-01-15T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2522,163,2685,12121,14806,83,871,188084,8319,,,211209,1785825,1025418,,8,,,210338,871,187316,768,2575,-53,8299,20,172,-9,1767779,18046,1020572,4846
2021-01-15T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1374,148,1522,54300,55822,287,1295,48765,2810,,,107397,1162264,705746,,7,,,106102,1295,47788,977,1387,-13,2779,31,162,-14,1152452,9812,700132,5614
2021-01-15T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,510,50,560,16891,17451,-2,260,16865,888,,,35204,521163,435962,,4,,Si segnala il decesso dei pz.:  - 1 uomo 78 aa residente in provincia di Oristano	  - 1 uomo 79 aa residente nella provincia del Sud Sardegna	  - 1 uomo 74 aa residente nella provincia del Sud Sardegna	  - 1 donna 84 aa residente nella città metropolitana di Cagliari	  - 1 donna 87 aa residente in provincia di Oristano	  - 1 uomo 81 aa residente nella provincia del Sud Sardegna	  - 1 uomo 77 aa residente nella provincia del Sud Sardegna	  - 1 donna 81 aa residente in provincia di Sassari	  - 1 uomo 79 aa residente nella provincia di Sassari	  - 1 uomo 88 aa residente nella provincia di Sassari	  - 1 uomo 73 aa residente nella provincia di Sassari	  - 2 residenti nella provincia di Nuoro	 ,34944,260,16616,249,527,-17,875,13,50,0,518905,2258,434185,1777
2021-01-15T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1403,210,1613,43432,45045,180,1945,69375,2916,,,117336,1367989,894456,,18,,,115391,1945,67649,1726,1397,6,2877,39,205,5,1343984,24005,888140,6316
2021-01-15T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,715,129,844,7754,8598,-87,446,114472,3940,,,127010,2012434,1106215,,7,,,126564,446,113949,523,723,-8,3930,10,132,-3,1998217,14217,1103382,2833
2021-01-15T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,278,50,328,4161,4489,0,232,26738,682,,,31909,543318,265261,"Si fa presente come uno dei ricoveri in terapia intensiva è un soggetto positivo comunicato dalla regione Lazio, quindi non rientra tra i nuovi positivi della Regione Umbria. A tal riguardo il corretto numero di isolati presso la nostra Regione è di 4162. ",3,,,31677,232,26510,228,277,1,678,4,51,-1,539805,3513,264287,974
2021-01-15T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,40,3,43,373,416,4,20,6793,392,,,7601,66212,40288,,2,,,7581,20,6777,16,43,-3,392,0,2,1,65958,254,40219,69
2021-01-15T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,2386,327,2713,72640,75353,-4472,1079,211662,7859,,,294874,3584775,1278230,,32,,,293795,1079,206185,5477,2447,-61,7785,74,328,-1,3526933,57842,1274187,4043
